ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),OUT
-1.034,9.603,1.137,0.297,9.801,-0.156,-1.37,-0.006,1.528,-0.066,-1.649,0.178,4,34.1,-22.3,-11.9,164.4,-87.8,-121.9,3,0
0.074,7.987,-0.338,0.405,9.798,0.121,-0.405,-1.607,-0.53,0.021,-1.564,0.064,2,31.4,-23.4,-19.3,229.2,-87.6,-71.2,3,0
-0.474,9.137,-0.175,0.429,9.797,0.055,-0.898,-0.653,-0.24,-0.082,-1.114,0.196,2,28.9,-23.3,-22.7,225.3,-87.6,-82.1,3,0
-0.634,10.123,-0.929,0.405,9.797,-0.133,-1.111,0.62,-0.971,0.328,-0.522,-0.114,3,26.2,-24.4,-25.9,216.3,-87.4,-97.7,3,0
-2.313,12.587,-0.242,0.091,9.801,-0.325,-2.39,2.381,-0.068,-0.106,0.458,-0.329,3,25.3,-25,-27.3,161.3,-88,-156.3,3,0
-0.206,10.535,0.405,-0.29,9.802,-0.074,0.017,1.08,-0.218,0.248,1.064,-0.53,3,27.1,-23.2,-25.4,55.4,-89,102,3,0
0.316,8.933,2.181,-0.308,9.799,0.216,0.531,-0.455,1.711,-0.702,1.154,0.332,3,30.5,-22,-22.6,51.8,-87.6,99.9,3,0
0.441,7.573,-0.371,-0.219,9.786,0.594,0.64,-2.268,-0.598,-0.013,0.924,-0.091,3,32.3,-21.5,-20.3,320.9,-86.3,20.2,3,0
1.147,8.928,-1.166,-0.321,9.778,0.679,1.472,-0.677,-1.663,-0.226,0.985,-0.06,2,34.6,-20.4,-17,319.8,-85.7,25.5,3,0
0.915,10.978,1.082,-0.187,9.787,0.596,1.351,1.033,0.455,0.059,0.538,-0.087,2,36.1,-20.2,-13.6,309,-86.2,19.4,3,0
-0.73,12.132,0.56,-0.246,9.797,0.353,-0.597,2.43,0.124,0.346,0.446,-0.141,2,37.3,-20.6,-11.2,312.6,-87.2,27.2,3,0
-1.52,11.16,2.559,-0.15,9.797,0.405,-1.38,1.626,1.97,-0.185,0.817,0.422,2,37.7,-20.5,-10.6,317.5,-87.6,31.8,3,0
